"","origin","host_class","host_order","host_family","host_genus","host_species","virus_family","virus_genus"
"19","Genbank","Mammalia","Rodentia","Muridae","Deomys","Deomys ferrugineus","Coronaviridae","Alphacoronavirus"
"20","Genbank","Mammalia","Chiroptera","Phyllostomidae","Desmodus","Desmodus rotundus","Coronaviridae","Alphacoronavirus"
"21","Genbank","Mammalia","Chiroptera","Pteropodidae","Eidolon","Eidolon helvum","Coronaviridae","Alphacoronavirus"
"22","Genbank","Mammalia","Chiroptera","Pteropodidae","Eonycteris","Eonycteris spelaea","Coronaviridae","Alphacoronavirus"
"23","Genbank","Mammalia","Chiroptera","Pteropodidae","Epomophorus","Epomophorus gambianus","Coronaviridae","Alphacoronavirus"
"24","Genbank","Mammalia","Chiroptera","Vespertilionidae","Eptesicus","Eptesicus fuscus","Coronaviridae","Alphacoronavirus"
"25","Genbank","Mammalia","Chiroptera","Vespertilionidae","Eptesicus","Eptesicus serotinus","Coronaviridae","Alphacoronavirus"
"26","Genbank","Mammalia","Chiroptera","Vespertilionidae","Falsistrellus","Falsistrellus mackenziei","Coronaviridae","Alphacoronavirus"
"27","Genbank","Mammalia","Carnivora","Felidae","Felis","Felis catus","Coronaviridae","Alphacoronavirus"
"28","Genbank","Mammalia","Chiroptera","Phyllostomidae","Glossophaga","Glossophaga soricina","Coronaviridae","Alphacoronavirus"
"29","Genbank","Mammalia","Chiroptera","Hipposideridae","Hipposideros","Hipposideros abae","Coronaviridae","Alphacoronavirus"
"30","Genbank","Mammalia","Chiroptera","Hipposideridae","Hipposideros","Hipposideros armiger","Coronaviridae","Alphacoronavirus"
"31","Genbank","Mammalia","Chiroptera","Hipposideridae","Hipposideros","Hipposideros bicolor","Coronaviridae","Alphacoronavirus"
"32","Genbank","Mammalia","Chiroptera","Hipposideridae","Hipposideros","Hipposideros caffer","Coronaviridae","Alphacoronavirus"
"33","Genbank","Mammalia","Chiroptera","Hipposideridae","Hipposideros","Hipposideros diadema","Coronaviridae","Alphacoronavirus"
"34","Genbank","Mammalia","Chiroptera","Hipposideridae","Hipposideros","Hipposideros gigas","Coronaviridae","Alphacoronavirus"
"35","Genbank","Mammalia","Chiroptera","Hipposideridae","Hipposideros","Hipposideros larvatus","Coronaviridae","Alphacoronavirus"
"36","Genbank","Mammalia","Chiroptera","Hipposideridae","Hipposideros","Hipposideros lekaguli","Coronaviridae","Alphacoronavirus"
"37","Genbank","Mammalia","Chiroptera","Hipposideridae","Hipposideros","Hipposideros pomona","Coronaviridae","Alphacoronavirus"
"38","Genbank","Mammalia","Chiroptera","Hipposideridae","Hipposideros","Hipposideros pratti","Coronaviridae","Alphacoronavirus"
"39","Genbank","Mammalia","Chiroptera","Hipposideridae","Hipposideros","Hipposideros ruber","Coronaviridae","Alphacoronavirus"
"40","Genbank","Mammalia","Chiroptera","Hipposideridae","Hipposideros","Hipposideros vittatus","Coronaviridae","Alphacoronavirus"
"41","Genbank","Mammalia","Chiroptera","Vespertilionidae","Hypsugo","Hypsugo savii","Coronaviridae","Alphacoronavirus"
"42","Genbank","Mammalia","Carnivora","Felidae","Leopardus","Leopardus pardalis","Coronaviridae","Alphacoronavirus"
"43","Genbank","Mammalia","Chiroptera","Phyllostomidae","Lichonycteris","Lichonycteris obscura","Coronaviridae","Alphacoronavirus"
"44","Genbank","Mammalia","Chiroptera","Phyllostomidae","Lonchorhina","Lonchorhina aurita","Coronaviridae","Alphacoronavirus"
"45","Genbank","Mammalia","Chiroptera","Pteropodidae","Megaloglossus","Megaloglossus woermanni","Coronaviridae","Alphacoronavirus"
"46","Genbank","Mammalia","Carnivora","Mustelidae","Melogale","Melogale moschata","Coronaviridae","Alphacoronavirus"
"47","Genbank","Mammalia","Chiroptera","Phyllostomidae","Mesophylla","Mesophylla macconnelli","Coronaviridae","Alphacoronavirus"
"48","Genbank","Mammalia","Chiroptera","Pteropodidae","Micropteropus","Micropteropus pusillus","Coronaviridae","Alphacoronavirus"
"49","Genbank","Mammalia","Rodentia","Cricetidae","Microtus","Microtus agrestis","Coronaviridae","Alphacoronavirus"
"50","Genbank","Mammalia","Chiroptera","Miniopteridae","Miniopterus","Miniopterus australis","Coronaviridae","Alphacoronavirus"
"51","Genbank","Mammalia","Chiroptera","Miniopteridae","Miniopterus","Miniopterus inflatus","Coronaviridae","Alphacoronavirus"
"52","Genbank","Mammalia","Chiroptera","Miniopteridae","Miniopterus","Miniopterus magnater","Coronaviridae","Alphacoronavirus"
"53","Genbank","Mammalia","Chiroptera","Miniopteridae","Miniopterus","Miniopterus natalensis","Coronaviridae","Alphacoronavirus"
"54","Genbank","Mammalia","Chiroptera","Miniopteridae","Miniopterus","Miniopterus pusillus","Coronaviridae","Alphacoronavirus"
"55","Genbank","Mammalia","Chiroptera","Miniopteridae","Miniopterus","Miniopterus schreibersii","Coronaviridae","Alphacoronavirus"
"56","Genbank","Mammalia","Chiroptera","Molossidae","Molossus","Molossus rufus","Coronaviridae","Alphacoronavirus"
"57","Genbank","Mammalia","Chiroptera","Molossidae","Mops","Mops condylurus","Coronaviridae","Alphacoronavirus"
"58","Genbank","Mammalia","Chiroptera","Vespertilionidae","Murina","Murina leucogaster","Coronaviridae","Alphacoronavirus"
"59","Genbank","Mammalia","Carnivora","Mustelidae","Mustela","Mustela putorius","Coronaviridae","Alphacoronavirus"
"60","Genbank","Mammalia","Rodentia","Cricetidae","Myodes","Myodes glareolus","Coronaviridae","Alphacoronavirus"
"61","Genbank","Mammalia","Chiroptera","Vespertilionidae","Myotis","Myotis blythii","Coronaviridae","Alphacoronavirus"
"62","Genbank","Mammalia","Chiroptera","Vespertilionidae","Myotis","Myotis brandtii","Coronaviridae","Alphacoronavirus"
"63","Genbank","Mammalia","Chiroptera","Vespertilionidae","Myotis","Myotis capaccinii","Coronaviridae","Alphacoronavirus"
"64","Genbank","Mammalia","Chiroptera","Vespertilionidae","Myotis","Myotis daubentonii","Coronaviridae","Alphacoronavirus"
"65","Genbank","Mammalia","Chiroptera","Vespertilionidae","Myotis","Myotis davidii","Coronaviridae","Alphacoronavirus"
"66","Genbank","Mammalia","Chiroptera","Vespertilionidae","Myotis","Myotis emarginatus","Coronaviridae","Alphacoronavirus"
"67","Genbank","Mammalia","Chiroptera","Vespertilionidae","Myotis","Myotis horsfieldii","Coronaviridae","Alphacoronavirus"
"68","Genbank","Mammalia","Chiroptera","Vespertilionidae","Myotis","Myotis longipes","Coronaviridae","Alphacoronavirus"
"69","Genbank","Mammalia","Chiroptera","Vespertilionidae","Myotis","Myotis lucifugus","Coronaviridae","Alphacoronavirus"
"70","Genbank","Mammalia","Chiroptera","Vespertilionidae","Myotis","Myotis macropus","Coronaviridae","Alphacoronavirus"
"71","Genbank","Mammalia","Chiroptera","Vespertilionidae","Myotis","Myotis myotis","Coronaviridae","Alphacoronavirus"
"72","Genbank","Mammalia","Chiroptera","Vespertilionidae","Myotis","Myotis nattereri","Coronaviridae","Alphacoronavirus"
"73","Genbank","Mammalia","Chiroptera","Vespertilionidae","Myotis","Myotis nigricans","Coronaviridae","Alphacoronavirus"
"74","Genbank","Mammalia","Chiroptera","Vespertilionidae","Myotis","Myotis punicus","Coronaviridae","Alphacoronavirus"
"75","Genbank","Mammalia","Chiroptera","Vespertilionidae","Myotis","Myotis ricketti","Coronaviridae","Alphacoronavirus"
"76","Genbank","Mammalia","Chiroptera","Vespertilionidae","Myotis","Myotis riparius","Coronaviridae","Alphacoronavirus"
"77","Genbank","Mammalia","Chiroptera","Vespertilionidae","Myotis","Myotis velifer","Coronaviridae","Alphacoronavirus"
"78","Genbank","Mammalia","Chiroptera","Vespertilionidae","Myotis","Myotis volans","Coronaviridae","Alphacoronavirus"
"79","Genbank","Mammalia","Chiroptera","Mystacinidae","Mystacina","Mystacina tuberculata","Coronaviridae","Alphacoronavirus"
"80","Genbank","Mammalia","Chiroptera","Vespertilionidae","Neoromicia","Neoromicia capensis","Coronaviridae","Alphacoronavirus"
"81","Genbank","Mammalia","Chiroptera","Vespertilionidae","Neoromicia","Neoromicia nanus","Coronaviridae","Alphacoronavirus"
"82","Genbank","Mammalia","Carnivora","Mustelidae","Neovison","Neovison vison","Coronaviridae","Alphacoronavirus"
"83","Genbank","Mammalia","Chiroptera","Vespertilionidae","Nyctalus","Nyctalus lasiopterus","Coronaviridae","Alphacoronavirus"
"84","Genbank","Mammalia","Chiroptera","Vespertilionidae","Nyctalus","Nyctalus plancyi","Coronaviridae","Alphacoronavirus"
"85","Genbank","Mammalia","Lagomorpha","Leporidae","Oryctolagus","Oryctolagus cuniculus","Coronaviridae","Alphacoronavirus"
"86","Genbank","Mammalia","Carnivora","Phocidae","Phoca","Phoca vitulina","Coronaviridae","Alphacoronavirus"
"87","Genbank","Mammalia","Chiroptera","Vespertilionidae","Pipistrellus","Pipistrellus abramus","Coronaviridae","Alphacoronavirus"
"88","Genbank","Mammalia","Chiroptera","Vespertilionidae","Pipistrellus","Pipistrellus coromandra","Coronaviridae","Alphacoronavirus"
"89","Genbank","Mammalia","Chiroptera","Vespertilionidae","Pipistrellus","Pipistrellus inexspectatus","Coronaviridae","Alphacoronavirus"
"90","Genbank","Mammalia","Chiroptera","Vespertilionidae","Pipistrellus","Pipistrellus kuhlii","Coronaviridae","Alphacoronavirus"
"91","Genbank","Mammalia","Chiroptera","Vespertilionidae","Pipistrellus","Pipistrellus pipistrellus","Coronaviridae","Alphacoronavirus"
"92","Genbank","Mammalia","Chiroptera","Vespertilionidae","Perimyotis","Pipistrellus subflavus","Coronaviridae","Alphacoronavirus"
"93","Genbank","Mammalia","Chiroptera","Pteropodidae","Pteropus","Pteropus giganteus","Coronaviridae","Alphacoronavirus"
"94","Genbank","Mammalia","Carnivora","Felidae","Puma","Puma yagouaroundi","Coronaviridae","Alphacoronavirus"
"95","Genbank","Mammalia","Rodentia","Muridae","Rattus","Rattus norvegicus","Coronaviridae","Alphacoronavirus"
"96","Genbank","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus affinis","Coronaviridae","Alphacoronavirus"
"97","Genbank","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus capensis","Coronaviridae","Alphacoronavirus"
"98","Genbank","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus clivosus","Coronaviridae","Alphacoronavirus"
"99","Genbank","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus coelophyllus","Coronaviridae","Alphacoronavirus"
"100","Genbank","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus euryale","Coronaviridae","Alphacoronavirus"
"101","Genbank","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus ferrumequinum","Coronaviridae","Alphacoronavirus"
"102","Genbank","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus megaphyllus","Coronaviridae","Alphacoronavirus"
"103","Genbank","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus rex","Coronaviridae","Alphacoronavirus"
"104","Genbank","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus shameli","Coronaviridae","Alphacoronavirus"
"105","Genbank","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus simulator","Coronaviridae","Alphacoronavirus"
"106","Genbank","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus sinicus","Coronaviridae","Alphacoronavirus"
"107","Genbank","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus stheno","Coronaviridae","Alphacoronavirus"
"108","Genbank","Mammalia","Chiroptera","Rhinopomatidae","Rhinopoma","Rhinopoma hardwickii","Coronaviridae","Alphacoronavirus"
"109","Genbank","Mammalia","Chiroptera","Pteropodidae","Rousettus","Rousettus aegyptiacus","Coronaviridae","Alphacoronavirus"
"110","Genbank","Mammalia","Chiroptera","Pteropodidae","Rousettus","Rousettus leschenaultii","Coronaviridae","Alphacoronavirus"
"111","Genbank","Mammalia","Chiroptera","Vespertilionidae","Scotophilus","Scotophilus dinganii","Coronaviridae","Alphacoronavirus"
"112","Genbank","Mammalia","Chiroptera","Vespertilionidae","Scotophilus","Scotophilus kuhlii","Coronaviridae","Alphacoronavirus"
"113","Genbank","Mammalia","Chiroptera","Vespertilionidae","Scotophilus","Scotophilus leucogaster","Coronaviridae","Alphacoronavirus"
"114","Genbank","Mammalia","Chiroptera","Vespertilionidae","Scotophilus","Scotophilus nux","Coronaviridae","Alphacoronavirus"
"115","Genbank","Mammalia","Soricomorpha","Soricidae","Sorex","Sorex araneus","Coronaviridae","Alphacoronavirus"
"116","Genbank","Mammalia","Chiroptera","Phyllostomidae","Sturnira","Sturnira erythromos","Coronaviridae","Alphacoronavirus"
"117","Genbank","Mammalia","Chiroptera","Phyllostomidae","Sturnira","Sturnira lilium","Coronaviridae","Alphacoronavirus"
"118","Genbank","Mammalia","Soricomorpha","Soricidae","Suncus","Suncus murinus","Coronaviridae","Alphacoronavirus"
"119","Genbank","Mammalia","Artiodactyla","Suidae","Sus","Sus scrofa","Coronaviridae","Alphacoronavirus"
"120","HP3","Mammalia","Artiodactyla","Suidae","Sus","Sus scrofa","Coronaviridae","Alphacoronavirus"
"121","Genbank","Mammalia","Chiroptera","Molossidae","Tadarida","Tadarida brasiliensis","Coronaviridae","Alphacoronavirus"
"122","Genbank","Mammalia","Chiroptera","Hipposideridae","Triaenops","Triaenops persicus","Coronaviridae","Alphacoronavirus"
"123","Genbank","Mammalia","Chiroptera","Vespertilionidae","Tylonycteris","Tylonycteris robustula","Coronaviridae","Alphacoronavirus"
"124","Genbank","Mammalia","Chiroptera","Vespertilionidae","Vespadelus","Vespadelus baverstocki","Coronaviridae","Alphacoronavirus"
"125","Genbank","Mammalia","Chiroptera","Vespertilionidae","Vespadelus","Vespadelus regulus","Coronaviridae","Alphacoronavirus"
"126","Genbank","Mammalia","Artiodactyla","Camelidae","Vicugna","Vicugna vicugna","Coronaviridae","Alphacoronavirus"
"127","Genbank","Mammalia","Rodentia","Muridae","Apodemus","Apodemus agrarius","Coronaviridae","Betacoronavirus"
"128","Genbank","Mammalia","Chiroptera","Phyllostomidae","Artibeus","Artibeus lituratus","Coronaviridae","Betacoronavirus"
"129","Genbank","Mammalia","Chiroptera","Phyllostomidae","Artibeus","Artibeus obscurus","Coronaviridae","Betacoronavirus"
"130","Genbank","Mammalia","Chiroptera","Phyllostomidae","Dermanura","Artibeus phaeotis","Coronaviridae","Betacoronavirus"
"131","Genbank","Mammalia","Chiroptera","Hipposideridae","Aselliscus","Aselliscus stoliczkanus","Coronaviridae","Betacoronavirus"
"132","Genbank","Mammalia","Artiodactyla","Bovidae","Bos","Bos taurus","Coronaviridae","Betacoronavirus"
"133","Genbank","Mammalia","Artiodactyla","Bovidae","Bubalus","Bubalus bubalis","Coronaviridae","Betacoronavirus"
"134","Genbank","Mammalia","Artiodactyla","Camelidae","Camelus","Camelus dromedarius","Coronaviridae","Betacoronavirus"
"135","Genbank","Mammalia","Carnivora","Canidae","Canis","Canis lupus","Coronaviridae","Betacoronavirus"
"136","Genbank","Mammalia","Chiroptera","Phyllostomidae","Carollia","Carollia perspicillata","Coronaviridae","Betacoronavirus"
"137","Genbank","Mammalia","Rodentia","Caviidae","Cavia","Cavia porcellus","Coronaviridae","Betacoronavirus"
"138","Genbank","Mammalia","Chiroptera","Molossidae","Chaerephon","Chaerephon plicatus","Coronaviridae","Betacoronavirus"
"139","Genbank","Mammalia","Primates","Cercopithecidae","Chlorocebus","Chlorocebus aethiops","Coronaviridae","Betacoronavirus"
"140","Genbank","Mammalia","Chiroptera","Pteropodidae","Cynopterus","Cynopterus brachyotis","Coronaviridae","Betacoronavirus"
"141","Genbank","Mammalia","Chiroptera","Pteropodidae","Cynopterus","Cynopterus horsfieldii","Coronaviridae","Betacoronavirus"
"142","Genbank","Mammalia","Chiroptera","Pteropodidae","Cynopterus","Cynopterus sphinx","Coronaviridae","Betacoronavirus"
"143","Genbank","Mammalia","Chiroptera","Pteropodidae","Dobsonia","Dobsonia moluccensis","Coronaviridae","Betacoronavirus"
"144","Genbank","Mammalia","Chiroptera","Pteropodidae","Dyacopterus","Dyacopterus spadiceus","Coronaviridae","Betacoronavirus"
"145","Genbank","Mammalia","Chiroptera","Pteropodidae","Eidolon","Eidolon dupreanum","Coronaviridae","Betacoronavirus"
"146","Genbank","Mammalia","Chiroptera","Pteropodidae","Eidolon","Eidolon helvum","Coronaviridae","Betacoronavirus"
"147","Genbank","Mammalia","Chiroptera","Pteropodidae","Eonycteris","Eonycteris spelaea","Coronaviridae","Betacoronavirus"
"148","Genbank","Mammalia","Chiroptera","Pteropodidae","Epomophorus","Epomophorus gambianus","Coronaviridae","Betacoronavirus"
"149","Genbank","Mammalia","Chiroptera","Pteropodidae","Epomophorus","Epomophorus labiatus","Coronaviridae","Betacoronavirus"
"150","Genbank","Mammalia","Chiroptera","Pteropodidae","Epomops","Epomops franqueti","Coronaviridae","Betacoronavirus"
"151","Genbank","Mammalia","Chiroptera","Vespertilionidae","Eptesicus","Eptesicus nilssonii","Coronaviridae","Betacoronavirus"
"152","Genbank","Mammalia","Chiroptera","Vespertilionidae","Eptesicus","Eptesicus serotinus","Coronaviridae","Betacoronavirus"
"153","Genbank","Mammalia","Perissodactyla","Equidae","Equus","Equus caballus","Coronaviridae","Betacoronavirus"
"154","Genbank","Mammalia","Erinaceomorpha","Erinaceidae","Erinaceus","Erinaceus amurensis","Coronaviridae","Betacoronavirus"
"155","Genbank","Mammalia","Erinaceomorpha","Erinaceidae","Erinaceus","Erinaceus europaeus","Coronaviridae","Betacoronavirus"
"156","Genbank","Mammalia","Chiroptera","Molossidae","Eumops","Eumops glaucinus","Coronaviridae","Betacoronavirus"
"157","Genbank","Mammalia","Chiroptera","Hipposideridae","Hipposideros","Hipposideros armiger","Coronaviridae","Betacoronavirus"
"158","Genbank","Mammalia","Chiroptera","Hipposideridae","Hipposideros","Hipposideros caffer","Coronaviridae","Betacoronavirus"
"159","Genbank","Mammalia","Chiroptera","Hipposideridae","Hipposideros","Hipposideros commersoni","Coronaviridae","Betacoronavirus"
"160","Genbank","Mammalia","Chiroptera","Hipposideridae","Hipposideros","Hipposideros galeritus","Coronaviridae","Betacoronavirus"
"161","Genbank","Mammalia","Chiroptera","Hipposideridae","Hipposideros","Hipposideros pratti","Coronaviridae","Betacoronavirus"
"162","Genbank","Mammalia","Chiroptera","Hipposideridae","Hipposideros","Hipposideros ruber","Coronaviridae","Betacoronavirus"
"163","Genbank","Mammalia","Artiodactyla","Cervidae","Hydropotes","Hydropotes inermis","Coronaviridae","Betacoronavirus"
"164","Genbank","Mammalia","Chiroptera","Vespertilionidae","Hypsugo","Hypsugo savii","Coronaviridae","Betacoronavirus"
"165","Genbank","Mammalia","Chiroptera","Vespertilionidae","Ia","Ia io","Coronaviridae","Betacoronavirus"
"166","Genbank","Mammalia","Artiodactyla","Camelidae","Lama","Lama glama","Coronaviridae","Betacoronavirus"
"167","Genbank","Mammalia","Pholidota","Manidae","Manis","Manis javanica","Coronaviridae","Betacoronavirus"
"168","Genbank","Mammalia","Chiroptera","Pteropodidae","Megaerops","Megaerops niphanae","Coronaviridae","Betacoronavirus"
"169","Genbank","Mammalia","Chiroptera","Pteropodidae","Megaloglossus","Megaloglossus woermanni","Coronaviridae","Betacoronavirus"
"170","HP3","Mammalia","Carnivora","Mustelidae","Melogale","Melogale moschata","Coronaviridae","Betacoronavirus"
"171","Genbank","Mammalia","Chiroptera","Pteropodidae","Micropteropus","Micropteropus pusillus","Coronaviridae","Betacoronavirus"
"172","Genbank","Mammalia","Chiroptera","Miniopteridae","Miniopterus","Miniopterus schreibersii","Coronaviridae","Betacoronavirus"
"173","Genbank","Mammalia","Chiroptera","Molossidae","Mops","Mops condylurus","Coronaviridae","Betacoronavirus"
"174","Genbank","Mammalia","Rodentia","Muridae","Mus","Mus bufo","Coronaviridae","Betacoronavirus"
"175","Genbank","Mammalia","Rodentia","Muridae","Mus","Mus cervicolor","Coronaviridae","Betacoronavirus"
"176","Genbank","Mammalia","Rodentia","Muridae","Mus","Mus musculus","Coronaviridae","Betacoronavirus"
"177","Genbank","Mammalia","Rodentia","Cricetidae","Myodes","Myodes glareolus","Coronaviridae","Betacoronavirus"
"178","Genbank","Mammalia","Chiroptera","Vespertilionidae","Myotis","Myotis dasycneme","Coronaviridae","Betacoronavirus"
"179","Genbank","Mammalia","Chiroptera","Vespertilionidae","Myotis","Myotis daubentonii","Coronaviridae","Betacoronavirus"
"180","Genbank","Mammalia","Chiroptera","Vespertilionidae","Myotis","Myotis emarginatus","Coronaviridae","Betacoronavirus"
"181","Genbank","Mammalia","Chiroptera","Vespertilionidae","Myotis","Myotis ricketti","Coronaviridae","Betacoronavirus"
"182","Genbank","Mammalia","Chiroptera","Vespertilionidae","Neoromicia","Neoromicia capensis","Coronaviridae","Betacoronavirus"
"183","Genbank","Mammalia","Rodentia","Muridae","Niviventer","Niviventer confucianus","Coronaviridae","Betacoronavirus"
"184","Genbank","Mammalia","Chiroptera","Vespertilionidae","Nyctalus","Nyctalus noctula","Coronaviridae","Betacoronavirus"
"185","HP3","Mammalia","Carnivora","Canidae","Nyctereutes","Nyctereutes procyonoides","Coronaviridae","Betacoronavirus"
"186","Genbank","Mammalia","Primates","Lorisidae","Nycticebus","Nycticebus pygmaeus","Coronaviridae","Betacoronavirus"
"187","Genbank","Mammalia","Chiroptera","Molossidae","Nyctinomops","Nyctinomops laticaudatus","Coronaviridae","Betacoronavirus"
"188","Genbank","Mammalia","Lagomorpha","Leporidae","Oryctolagus","Oryctolagus cuniculus","Coronaviridae","Betacoronavirus"
"189","Genbank","Mammalia","Carnivora","Viverridae","Paguma","Paguma larvata","Coronaviridae","Betacoronavirus"
"190","HP3","Mammalia","Carnivora","Viverridae","Paguma","Paguma larvata","Coronaviridae","Betacoronavirus"
"191","Genbank","Mammalia","Primates","Hominidae","Pan","Pan troglodytes","Coronaviridae","Betacoronavirus"
"192","Genbank","Mammalia","Chiroptera","Vespertilionidae","Pipistrellus","Pipistrellus abramus","Coronaviridae","Betacoronavirus"
"193","Genbank","Mammalia","Chiroptera","Vespertilionidae","Pipistrellus","Pipistrellus hesperidus","Coronaviridae","Betacoronavirus"
"194","Genbank","Mammalia","Chiroptera","Vespertilionidae","Pipistrellus","Pipistrellus kuhlii","Coronaviridae","Betacoronavirus"
"195","Genbank","Mammalia","Chiroptera","Vespertilionidae","Pipistrellus","Pipistrellus nathusii","Coronaviridae","Betacoronavirus"
"196","Genbank","Mammalia","Chiroptera","Vespertilionidae","Pipistrellus","Pipistrellus pipistrellus","Coronaviridae","Betacoronavirus"
"197","Genbank","Mammalia","Chiroptera","Vespertilionidae","Pipistrellus","Pipistrellus pygmaeus","Coronaviridae","Betacoronavirus"
"198","Genbank","Mammalia","Chiroptera","Pteropodidae","Ptenochirus","Ptenochirus jagori","Coronaviridae","Betacoronavirus"
"199","Genbank","Mammalia","Chiroptera","Mormoopidae","Pteronotus","Pteronotus davyi","Coronaviridae","Betacoronavirus"
"200","Genbank","Mammalia","Chiroptera","Mormoopidae","Pteronotus","Pteronotus parnellii","Coronaviridae","Betacoronavirus"
"201","Genbank","Mammalia","Chiroptera","Pteropodidae","Pteropus","Pteropus alecto","Coronaviridae","Betacoronavirus"
"202","Genbank","Mammalia","Chiroptera","Pteropodidae","Pteropus","Pteropus giganteus","Coronaviridae","Betacoronavirus"
"203","Genbank","Mammalia","Chiroptera","Pteropodidae","Pteropus","Pteropus rufus","Coronaviridae","Betacoronavirus"
"204","Genbank","Mammalia","Rodentia","Muridae","Rattus","Rattus argentiventer","Coronaviridae","Betacoronavirus"
"205","Genbank","Mammalia","Rodentia","Muridae","Rattus","Rattus losea","Coronaviridae","Betacoronavirus"
"206","Genbank","Mammalia","Rodentia","Muridae","Rattus","Rattus norvegicus","Coronaviridae","Betacoronavirus"
"207","Genbank","Mammalia","Rodentia","Muridae","Rattus","Rattus tanezumi","Coronaviridae","Betacoronavirus"
"208","Genbank","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus affinis","Coronaviridae","Betacoronavirus"
"209","HP3","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus blasii","Coronaviridae","Betacoronavirus"
"210","Genbank","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus blasii","Coronaviridae","Betacoronavirus"
"211","Genbank","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus clivosus","Coronaviridae","Betacoronavirus"
"212","Genbank","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus cornutus","Coronaviridae","Betacoronavirus"
"213","Genbank","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus creaghi","Coronaviridae","Betacoronavirus"
"214","HP3","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus euryale","Coronaviridae","Betacoronavirus"
"215","Genbank","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus euryale","Coronaviridae","Betacoronavirus"
"216","Genbank","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus ferrumequinum","Coronaviridae","Betacoronavirus"
"217","HP3","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus ferrumequinum","Coronaviridae","Betacoronavirus"
